Número secuencial;Sección Electoral;Código Postal;Hora de inicio de la entrevista;Hora de terminación de la entrevista;Sexo;Edad;Estado Civil;Grado máximo de estudios;Habitantes en el hogar;Personas_0_6;Personas_7_17;Personas_18_30;Personas_31_45;Personas_46_65;Personas_66_más;Relación con el jefe de familia;Tiene alguna actividad por la que recibe ingresos;¿Ha consumido alguna bebida alcohólica en los últimos 6 meses?;Principal razón por la que no bebe;Toma cerveza;Toma ron;ron2;Toma brandy;brandy2;Toma cognac;cognac2;Toma tequila;tequila2;Toma mezcal/aguardiente;mezcal2;Toma whisky;Toma vodka;vodka2;Toma ginebra;Toma anís;Toma vino tinto;Toma vino blanco;Toma bebida combinada;Toma bebida energizante;Toma pulque;Toma crema/bebida dulce;Toma otra bebida;Otro (especif.);Toma cerveza (frecuencia);Toma ron (frecuencia);Toma brandy (frecuencia);Toma cognac (frecuencia);Toma tequila (frecuencia);Toma mezcal/aguardte (frecuencia);Toma whisky (frecuencia);Toma vodka (frecuencia);Toma ginebra (frecuencia);Toma anís (frecuencia);Toma vino tinto (frecuencia);Toma vino blanco (frecuencia);Toma bebida combinada (frecuencia);Toma bebida energética (frecuencia);Toma pulque (frecuencia);Toma crema/bebida dulce (frecuencia);Toma otra bebida (1) (frecuencia);Toma cerveza (cantidad);Toma cerveza caguama (cantidad);Toma cerveza (cantidad sumada);Toma ron (cantidad);Toma brandy (cantidad);Toma cognac (cantidad);Toma tequila (cantidad);Toma mezcal/agdte (cantidad);Toma whisky (cantidad);Toma vodka (cantidad);Toma ginebra (cantidad);Toma anís (cantidad);Toma vino tinto (cantidad);Toma vino blanco (cantidad);Toma bebida combinada (cantidad);Toma bebida energética (cantidad);Toma pulque (cantidad);Toma crema/bebida dulce (cantidad);Toma otra bebida (1) (cantidad);Cerveza_Marca_A;Cerveza_Marca_B;Ron_Marca_A;Ron_Marca_B;Brandy_Marca_A;Brandy_Marca_B;Cognac_Marca_A;Cognac_Marca_B;Tequila_Marca_A;Tequila_Marca_B;Mezcal_Marca_A;Mezcal_Marca_B;Whisky_Marca_A;Whisky_Marca_B;Vodka_Marca_A;Vodka_Marca_B;Ginebra_Marca_A;Ginebra_Marca_B;Anís_Marca_A;Anís_Marca_B;VinoT_Marca_A;VinoT_Marca_B;VinoB_Marca_A;VinoB_Marca_B;Combina_Marca_A;Combina_Marca_B;Energ_Marca_A;Energ_Marca_B;Pulque_Marca_A;Pulque_Marca_B;Crema_Marca_A;Crema_Marca_B;Otra_1_Marca_A;Otra_1_Marca_B;Cerveza_Marca_A_razón;Cerveza_Marca_B_razón;Ron_Marca_A_razón;Ron_Marca_B_razón;Brandy_Marca_A_razón;Brandy_Marca_B_razón;Cognac_Marca_A_razón;Cognac_Marca_B_razón;Tequila_Marca_A_razón;Tequila_Marca_B_razón;Mezcal_Marca_A_razón;Mezcal_Marca_B_razón;Whisky_Marca_A_razón;Whisky_Marca_B_razón;Vodka_Marca_A_razón;Vodka_Marca_B_razón;Ginebra_Marca_A_razón;Ginebra_Marca_B_razón;Anís_Marca_A_razón;Anís_Marca_B_razón;VinoT_Marca_A_razón;VinoT_Marca_B_razón;VinoB_Marca_A_razón;VinoB_Marca_B_razón;Combina_Marca_A_razón;Combina_Marca_B_razón;Energ_Marca_A_razón;Energ_Marca_B_razón;Pulque_Marca_A_razón;Pulque_Marca_B_razón;Crema_Marca_A_razón;Crema_Marca_B_razón;Otra_1_Marca_A_razón;Otra_1_Marca_B_razón;Principal lugar donde consume bebidas;Porqué bebe;¿Ha tenido alguna vez problemas luego de beber?;Choque de automóvil;Problema con autoridades;Problemas familiares;Problema en el trabajo;Problemas en la escuela;Riña, agresión, violencia;Problemas de salud;Pérdida de memoria;Pérdida de conciencia;Sentimiento de culpa;Otro problema;Cuando bebe, ¿maneja?;¿Le han hecho la prueba del alcoholímetro?;Resultado de prueba del alcoholímetro;Edad a la primera vez que bebió;Nivel de Ingresos;Medio de transporte principal;Automóvil;Metro;Gasto semanal en transporte;Tiene tel. móvil;Marca tel. móvil;Tel. móvil (razón marca);Compañía tel. móvil;Forma de pago tel. móvil;Compañía tel. móvil (calificación del servicio);Coyoacán_Seguridad;Coyoacán_Transporte;Coyoacán_Vías de Comunicación;Coyoacán_Calidad de Vida;Coyoacán_Corrupción;Coyoacán_Servs_Públicos;Coyoacán_Escolar;Coyoacán_Medio_Ambiente;Coyoacán_Cultura;Seguridad_DF;Seguridad_MEXICO;Empleo_DF;Empleo_MEXICO;Economía_DF;Economía_MEXICO;Pobreza_DF;Pobreza_MEXICO;Corrupción_DF;Corrupción_MEXICO;Educación_DF;Educación_MEXICO;Salud_DF;Salud_MEXICO;Narco_DF;Narco_MEXICO;DH_DF;DH_MEXICO;Medio Ambiente_DF;Medio Ambiente_MEXICO;Calificación a Andrés Manuel López Obrador;Calificación a Claudia Sheinbaum;Calificación a Alcalde Coyoacán;No. de focos en la vivienda;Edad (rangos);Estado Civil (2);Grado máximo de estudios (rangos);Años de estudio (estimado);Nivel Socioeconómico (2 categorías);Nivel de Ingresos (recodificado);Focos per cápita;Razón por la que no bebe;Índice de Consumo Mensual de Bebidas Alcohólicas;Índice de Consumo de B. Alcohólicas (2 categorías)
48;725;04310;4:28:00 PM;4:49:00 PM;Mujer;38;Unión libre;Licenciatura incompleta;4;0;2;0;2;0;0;Esposo (a);Sí;No;Llego a tomar pero muy poco;No;No;0;No;0;No;0;No;0;No;0;No;No;0;No;No;No;No;No;No;No;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;2-3 SM;;;;250,00;Sí;Samsung;Precio;Telcel;Prepago;Bueno;Muy Mala;Regular;Regular;Regular;Muy Mala;Regular;Regular;Regular;Regular;7;7;7;7;6;6;7;8;7;7;7;7;6;7;NS/NC;7;8;7;2;7;1;1;1;20;30-49;Casado-Unión Libre;Licenciatura o más;14,5;Medio-Alto;2 - 7 SM;5,00;Lo considera conveniente;;
53;725;04310;5:32:00 PM;5:54:00 PM;Hombre;47;Casado;Licenciatura incompleta;3;0;0;1;1;1;0;Padre – Madre;No;Sí;;Sí;No;0;No;0;No;0;Sí;1;Sí;1;No;No;0;No;No;Sí;No;No;No;No;No;No;;1 vez al mes;;;;1 vez al mes;1 vez al mes;;;;;1 vez al mes;;;;;;;3;0;3;;;;2;2;;;;;3;;;;;;;MODELO;;;;;;;;CABRITO;DON JULIO;ARTESANAL;;;;;;;;;;MAYPO;;;;;;;;;;;;;;Mensajes publicitarios;;;;;;;;Sabor;;;;;;;;;;;;Bebida suave, ligera;;;;;;;;;;;;;;Fiestas, reuniones particulares;Para convivir;No;;;;;;;;;;;;Nunca;No;;9;No tengo ingresos;;;;25,00;Sí;Samsung;Precio;Telcel;Plan;Bueno;Mala;Muy buena;Regular;Regular;Buena;Regular;Muy buena;Regular;Buena;6;5;2;1;7;8;6;9;8;10;7;6;7;4;7;10;5;8;3;4;8;6;0;21;30-49;Casado-Unión Libre;Licenciatura o más;14,5;Medio-Alto;;7,00;;10,00;Bajo-Medio
49;725;04310;5:05:00 PM;5:27:00 PM;Hombre;30;Soltero;Prepa (o equivalente) completa;1;0;0;1;0;0;0;Es jefe (a) de familia;Sí;Sí;;Sí;Sí;1;Sí;1;No;0;Sí;1;Sí;1;Sí;Sí;1;Sí;No;No;No;Sí;Sí;Sí;Sí;No;;Mas de 2 veces a la semana;1 vez a la semana;1 vez a la semana;;1 vez a la semana;;1 vez a la semana;1 vez a la semana;1 vez a la semana;;;;1 vez a la semana;;1 vez a la semana;1 vez a la semana;;2;2;8;1;;1;1;1;1;;;;1;;1;;1;1;;MODELO;NOCHEBUENA;APPLETON;;TORRES 10;AZTECA DE O;;;HERRADURA;;ARTESANAL;;ETIQUETA ROJA;;;WYBOROWA;;;;;;;;;NIÑA REAL;;FOURLOKO;;ARTESANAL;;BAILEYS;;;;Sabor;Precio;Sabor;;Sabor;Calidad;;;Sabor;;;;Precio;;Calidad;;;;;;;;;;Bebida suave, ligera;;Sabor;;Sabor;;Sabor;;;;Fiestas, reuniones particulares;Por gusto;No;;;;;;;;;;;;Nunca;Sí;No rebasó nivel permitido;15;2-3 SM;;;;100,00;Sí;Samsung;Otra;Telcel;Prepago;Bueno;Regular;Muy buena;Buena;Regular;Mala;Muy buena;Buena;Mala;Regular;7;2;7;2;6;3;8;4;9;10;9;7;8;6;7;10;8;6;7;6;6;5;6;6;30-49;Soltero;Hasta prepa (o equivalente) completa;12;Bajo-Medio;2 - 7 SM;6,00;;129,80;Medio-Alto
77;591;04480;12:37:00 PM;12:49:00 PM;Mujer;70;Viudo;Primaria completa;1;0;0;0;0;0;1;Es jefe (a) de familia;No;Sí;;Sí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 vez a la quincena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MODELO;LEON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sabor;Sabor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;En mi casa;Por gusto;No;;;;;;;;;;;;Nunca;No;;18;Hasta 1 SM;Autobús-Pesero_Combi;0;0;30,00;No;;;;;;Mala;Regular;Regular;Regular;Mala;Mala;Regular;Regular;Regular;1;1;2;2;1;1;2;2;1;1;2;2;2;2;1;1;2;2;2;2;9;9;9;7;50 +;Viudo;Hasta prepa (o equivalente) completa;6;Bajo-Medio;<= 2 SM;7,00;;4,00;Bajo-Medio
78;591;04480;12:52:00 PM;12:31:00 PM;Hombre;55;Soltero;Secundaria completa;2;0;0;0;0;2;0;Hijo (a);Sí;Sí;;Sí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 vez a la quincena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MODELO;VICTORIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bebida suave, ligera;Costumbre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fiestas, reuniones particulares;Para convivir;No;;;;;;;;;;;;No maneja / Sin automóvil;No;;22;2-3 SM;Autobús-Pesero_Combi;0;0;350,00;Sí;HTC;Precio;Virgin Mobile;Plan;Regular;Regular;Mala;Mala;Regular;Regular;Mala;Mala;Mala;Regular;4;3;3;3;3;2;2;1;3;2;3;2;3;3;3;3;2;2;2;2;5;6;8;8;50 +;Soltero;Hasta prepa (o equivalente) completa;9;Bajo-Medio;2 - 7 SM;4,00;;4,00;Bajo-Medio
80;591;04480;2:22:00 AM;2:44:00 AM;Hombre;29;Soltero;Licenciatura completa (o pasante);4;0;1;1;0;2;0;Hijo (a);Sí;Sí;;0;0;0;0;0;0;0;Sí;1;0;0;Sí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1 vez a la quincena;0;1 vez a la quincena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;JIMADOR;JOSE CUERVO;;;BUCHANNAN'S;CHIVAS REGAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Precio;Precio;;;Sabor;Sabor;;;;;;;;;;;;;;;;;;;;;Bares, cantinas, antros;Para convivir;No;;;;;;;;;;;;A veces;No;;20;2-3 SM;Autobús-Pesero_Combi;0;0;340,00;Sí;Alcatel;Precio;AT&T;Prepago;Regular;Regular;Buena;Buena;Buena;Regular;Buena;Buena;Buena;Muy buena;5;5;5;5;4;5;5;4;4;4;4;5;6;6;4;4;5;5;5;5;6;6;6;10;18-29;Soltero;Licenciatura o más;17;Bajo-Medio;2 - 7 SM;2,50;;20,00;Medio-Alto
92;347;4330;8:00:00 AM;8:20:00 AM;Mujer;27;Soltero;Licenciatura incompleta;5;0;2;2;0;1;0;Hijo (a);Sí;Sí;;Sí;Sí;1;No;0;No;0;Sí;1;No;0;Sí;No;0;No;No;No;No;No;No;No;No;No;;2 veces a la semana;1 vez al mes;;;1 vez al mes;;1 vez al mes;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;CORONA;VICTORIA;FLOR DE CAÑA;BRUGAL;;;;;DON JULIO;CUERVO;;;JACK DANIEL´S;PASSPORT;;;;;;;;;;;;;;;;;;;;;Sabor;Precio;Bebida de categoría;Efecto estimulante;;;;;Bebida suave, ligera;Efecto estimulante;;;Pureza;Efecto estimulante;;;;;;;;;;;;;;;;;;;;;Fiestas, reuniones particulares;Por diversión;Sí;Sí;;;;Sí;;;;;Sí;;Nunca;;;15;Hasta 1 SM;Autobús-Pesero_Combi;0;0;100,00;Sí;Samsung;Precio;Telcel;Plan;Muy malo;Mala;Muy Mala;Muy Mala;Mala;Mala;Mala;Mala;Regular;Regular;3;2;6;5;6;5;6;5;3;4;6;4;5;6;4;5;5;5;5;7;6;7;5;10;18-29;Soltero;Licenciatura o más;14,5;Bajo-Medio;<= 2 SM;2,00;;0,00;
20;600;4480;2:13:00 AM;2:39:00 AM;Hombre;42;Casado;Maestría (completa o pasante);2;0;0;0;0;2;0;Es jefe (a) de familia;Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;No;0;No;No;0;No;No;No;No;No;No;No;No;No;;1 vez al mes;;;;1 vez al mes;;;;;;;;;;;;;12;0;12;;;;10;;;;;;;;;;;;;Corona;Victoria;;;;;;;Sauza;José Cuervo;;;;;;;;;;;;;;;;;;;;;;;;;Precio;Precio;;;;;;;Sabor;Efecto estimulante;;;;;;;;;;;;;;;;;;;;;;;;;Fiestas, reuniones particulares;Para convivir;No;;;;;;;;;;;;Nunca;No;;17;2-3 SM;Autobús-Pesero_Combi;0;0;200,00;Sí;Samsung;Calidad;AT&T;Prepago;Bueno;Buena;Muy buena;Muy buena;Muy buena;Mala;Muy buena;Muy buena;Muy buena;Buena;9;3;9;5;8;4;5;8;3;5;8;6;8;6;8;6;9;9;9;8;9;10;6;12;30-49;Casado-Unión Libre;Licenciatura o más;19;Medio-Alto;2 - 7 SM;6,00;;22,00;Medio-Alto
32;600;4480;2:08:00 AM;2:36:00 AM;Hombre;45;Casado;Maestría (completa o pasante);2;0;0;0;0;2;0;Es jefe (a) de familia;Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;No;0;No;No;0;No;No;No;No;No;No;No;No;No;;1 vez al mes;;;;1 vez al mes;;;;;;;;;;;;;12;0;12;;;;10;;;;;;;;;;;;;Corona;Modelo;;;;;;;Cazadores;José Cuervo;;;;;;;;;;;;;;;;;;;;;;;;;Precio;Precio;;;;;;;Sabor;Efecto estimulante;;;;;;;;;;;;;;;;;;;;;;;;;Fiestas, reuniones particulares;Para convivir;No;;;;;;;;;;;;Nunca;No;;17;2-3 SM;Autobús-Pesero_Combi;0;0;300,00;Sí;Samsung;Calidad;AT&T;Prepago;Bueno;Buena;Muy buena;Muy buena;Muy buena;Muy Mala;Muy buena;7;Buena;7;9;3;9;3;8;3;6;8;3;4;8;5;8;5;7;5;9;9;9;8;9;10;6;14;30-49;Casado-Unión Libre;Licenciatura o más;19;Medio-Alto;2 - 7 SM;7,00;;22,00;Medio-Alto
61;417;04369;4:10:00 AM;4:28:00 AM;Mujer;42;Unión libre;Licenciatura incompleta;5;1;0;2;1;0;1;Otro;Sí;Sí;;Sí;No;0;No;0;No;0;Sí;1;No;0;No;No;0;No;No;No;No;No;No;No;No;No;;1 vez a la semana;;;;1 vez a la quincena;;;;;;;;;;;;;4;0;4;;;;3;;;;;;;;;;;;;Tecate;XX;;;;;;;Don Julio;José Cuervo;;;;;;;;;;;;;;;;;;;;;;;;;Sabor;Sabor;;;;;;;Precio;Sabor;;;;;;;;;;;;;;;;;;;;;;;;;Bares, cantinas, antros;Por diversión;No;;;;;;;;;;;;A veces;No;;21;5-7 SM;Autobús-Pesero_Combi;0;0;70,00;Sí;Huawei;Calidad;AT&T;Otra modalidad;Bueno;Buena;Buena;NS/NC;Buena;Regular;Regular;Buena;Mala;Buena;5;2;8;6;6;4;6;4;1;3;7;5;7;5;2;1;4;2;4;2;1;2;0;20;30-49;Casado-Unión Libre;Licenciatura o más;14,5;Medio-Alto;2 - 7 SM;4,00;;23,20;Medio-Alto
